Time,Connected_Miners,CDAM_Social_Welfare,MDAM_Social_Welfare,CDAM_Winner_Miners,MDAM_Winner_Miners,CDAM_Satisfaction,MDAM_Satisfaction,CDAM_Utilization,MDAM_Utilization,CDAM_Execution_Time,MDAM_Execution_Time
460,837,437858,95398,837,131,0.837,0.131,0.005645563814431599,0.9869012127507453,0.0010242462158203125,0.0010690689086914062
470,842,440536,95355,842,132,0.842,0.132,0.005679288807349351,0.9931875514306142,0.0010416507720947266,0.0010762214660644531
480,845,442349,95995,845,132,0.845,0.132,0.005699523803100001,0.9952919909886819,0.0011415481567382812,0.0011219978332519531
490,855,447406,95620,855,133,0.855,0.133,0.0057669737889355045,0.994705176111913,0.0010371208190917969,0.0011081695556640625
500,855,447278,95204,855,133,0.855,0.133,0.0057669737889355045,0.9899836771034278,0.001064300537109375,0.0011031627655029297
510,856,448222,95204,856,133,0.856,0.133,0.005773718787519055,0.9899836771034278,0.0010101795196533203,0.0010590553283691406
520,859,450550,96038,859,135,0.859,0.135,0.005793953783269705,0.9883716224419593,0.0010557174682617188,0.001115560531616211
530,863,452783,96056,863,134,0.863,0.134,0.005820933777603907,0.9855724480297859,0.0011065006256103516,0.0010898113250732422
540,866,454802,95251,866,133,0.866,0.133,0.005841168773354557,0.9863616128640613,0.0010514259338378906,0.0012180805206298828
550,869,456840,95223,869,134,0.869,0.134,0.005861403769105209,0.9948603110793347,0.0010445117950439453,0.0011205673217773438
560,874,459409,95697,874,133,0.874,0.133,0.00589512876202296,0.9950221910453398,0.0011074542999267578,0.0010900497436523438
570,876,460069,94562,876,131,0.876,0.131,0.005908618759190061,0.9888707523371421,0.0010204315185546875,0.001085519790649414
580,878,461101,94845,878,132,0.878,0.132,0.0059221087563571615,0.9918452967124877,0.001032114028930664,0.0011119842529296875
590,880,461573,94939,880,133,0.88,0.133,0.0059355987535242615,0.9961688408045434,0.0015835762023925781,0.0010933876037597656
600,881,460981,94588,881,133,0.881,0.133,0.005942343752107812,0.9949884660524221,0.0009908676147460938,0.00109100341796875
